outlook_id,instrument,timestamp,generated_timestamp,generated_success,trigger,bias,confidence,regime,summary,trade_state
154,NIFTY,2026-08-28,2026-09-17 21:01:55,YES,cron_scheduled,"{'label': 'NEUTRAL', 'probs': {'bullish': 30, 'neutral': 38, 'bearish': 32}}",62,N/A (in payload),"{""date"": ""2026-08-28"", ""symbol"": ""NIFTY"", ""as_of_ist"": ""2026-09-17 21:01 IST"", ""regime"": {""primary"": ""UNKNOWN"", ""engine"": """", ""confidence"": null}, ""bias"": {""label"": ""NEUTRAL"", ""probs"": {""bullish"": 30,",N/A
155,BANKNIFTY,2026-08-28,2026-09-17 21:01:55,YES,cron_scheduled,"{'label': 'NEUTRAL', 'probs': {'bullish': 30, 'neutral': 38, 'bearish': 32}}",62,N/A (in payload),"{""date"": ""2026-08-28"", ""symbol"": ""BANKNIFTY"", ""as_of_ist"": ""2026-09-17 21:01 IST"", ""regime"": {""primary"": ""UNKNOWN"", ""engine"": """", ""confidence"": null}, ""bias"": {""label"": ""NEUTRAL"", ""probs"": {""bullish"":",N/A
157,NIFTY,2026-08-31,2026-09-17 21:01:55,YES,cron_scheduled,"{'label': 'MILDLY BEARISH', 'probs': {'bullish': 23, 'neutral': 33, 'bearish': 44}}",62,N/A (in payload),"{""date"": ""2026-08-31"", ""symbol"": ""NIFTY"", ""as_of_ist"": ""2026-09-17 21:01 IST"", ""regime"": {""primary"": ""BEARISH RANGE"", ""engine"": ""BEARISH_RANGE"", ""confidence"": 55.0}, ""bias"": {""label"": ""MILDLY BEARISH""",N/A
158,BANKNIFTY,2026-08-31,2026-09-17 21:01:55,YES,cron_scheduled,"{'label': 'MILDLY BEARISH', 'probs': {'bullish': 19, 'neutral': 31, 'bearish': 50}}",60,N/A (in payload),"{""date"": ""2026-08-31"", ""symbol"": ""BANKNIFTY"", ""as_of_ist"": ""2026-09-17 21:01 IST"", ""regime"": {""primary"": ""BEARISH"", ""engine"": ""TRENDING_BEARISH"", ""confidence"": 55.0}, ""bias"": {""label"": ""MILDLY BEARISH",N/A
160,NIFTY,2026-09-01,2026-09-17 21:01:55,YES,cron_scheduled,"{'label': 'MILDLY BEARISH', 'probs': {'bullish': 19, 'neutral': 31, 'bearish': 50}}",60,N/A (in payload),"{""date"": ""2026-09-01"", ""symbol"": ""NIFTY"", ""as_of_ist"": ""2026-09-17 21:01 IST"", ""regime"": {""primary"": ""BEARISH RANGE"", ""engine"": ""BEARISH_RANGE"", ""confidence"": 55.0}, ""bias"": {""label"": ""MILDLY BEARISH""",N/A
161,BANKNIFTY,2026-09-01,2026-09-17 21:01:55,YES,cron_scheduled,"{'label': 'MILDLY BEARISH', 'probs': {'bullish': 19, 'neutral': 31, 'bearish': 50}}",60,N/A (in payload),"{""date"": ""2026-09-01"", ""symbol"": ""BANKNIFTY"", ""as_of_ist"": ""2026-09-17 21:01 IST"", ""regime"": {""primary"": ""BEARISH"", ""engine"": ""TRENDING_BEARISH"", ""confidence"": 55.0}, ""bias"": {""label"": ""MILDLY BEARISH",N/A
163,NIFTY,2026-09-02,2026-09-17 21:01:55,YES,cron_scheduled,"{'label': 'MILDLY BEARISH', 'probs': {'bullish': 26, 'neutral': 30, 'bearish': 44}}",62,N/A (in payload),"{""date"": ""2026-09-02"", ""symbol"": ""NIFTY"", ""as_of_ist"": ""2026-09-17 21:01 IST"", ""regime"": {""primary"": ""BEARISH RANGE"", ""engine"": ""BEARISH_RANGE"", ""confidence"": 55.0}, ""bias"": {""label"": ""MILDLY BEARISH""",N/A
164,BANKNIFTY,2026-09-02,2026-09-17 21:01:55,YES,cron_scheduled,"{'label': 'MILDLY BEARISH', 'probs': {'bullish': 19, 'neutral': 31, 'bearish': 50}}",60,N/A (in payload),"{""date"": ""2026-09-02"", ""symbol"": ""BANKNIFTY"", ""as_of_ist"": ""2026-09-17 21:01 IST"", ""regime"": {""primary"": ""BEARISH"", ""engine"": ""TRENDING_BEARISH"", ""confidence"": 55.0}, ""bias"": {""label"": ""MILDLY BEARISH",N/A
166,NIFTY,2026-09-03,2026-09-17 21:01:55,YES,cron_scheduled,"{'label': 'MILDLY BEARISH', 'probs': {'bullish': 13, 'neutral': 32, 'bearish': 55}}",62,N/A (in payload),"{""date"": ""2026-09-03"", ""symbol"": ""NIFTY"", ""as_of_ist"": ""2026-09-17 21:01 IST"", ""regime"": {""primary"": ""BEARISH RANGE"", ""engine"": ""BEARISH_RANGE"", ""confidence"": 55.0}, ""bias"": {""label"": ""MILDLY BEARISH""",N/A
167,BANKNIFTY,2026-09-03,2026-09-17 21:01:55,YES,cron_scheduled,"{'label': 'MILDLY BEARISH', 'probs': {'bullish': 13, 'neutral': 32, 'bearish': 55}}",62,N/A (in payload),"{""date"": ""2026-09-03"", ""symbol"": ""BANKNIFTY"", ""as_of_ist"": ""2026-09-17 21:01 IST"", ""regime"": {""primary"": ""BEARISH"", ""engine"": ""TRENDING_BEARISH"", ""confidence"": 55.0}, ""bias"": {""label"": ""MILDLY BEARISH",N/A
