page,section,element_id,js_function,api_endpoint,json_field,backend_file,db_table,timestamp_field,symbol,freshness,fallback
/ai-track-record.html,Prediction Accuracy,"#ai-overall,#ai-total,#ai-conf",loadData,/api/journal/stats,"accuracy,total_trades,avg_confidence",backend/api_server.py,trade_journal,timestamp,NIFTY,Loading,NEVER POPULATES (missing data-sym)
/ai-track-record.html,Verdict History,#verdict-table tbody,loadData,/api/journal?limit=50,trade entries,backend/api_server.py,trade_journal,timestamp,NIFTY,Loading,No error fallback
/ai-track-record.html,Accuracy by Symbol,#ai-by-symbol[data-sym=NIFTY],loadData,/api/intelligence/instrument/NIFTY,per_instrument_stats,backend/api_server.py,trade_journal,timestamp,NIFTY,NEVER POPULATES,data-sym attr MISSING from HTML
/ai-track-record.html,AI vs No-AI,#ai-comparison,loadData,/api/journal/stats,"with_ai,without_ai",backend/api_server.py,trade_journal,timestamp,NIFTY,NEVER POPULATES,data-col attr MISSING from HTML
/research/index.html,Technical Analysis,#research-tech,loadData,/api/indicators/NIFTY,"rsi,macd,adx,atr,vwap,pivot",backend/api_server.py,indicators,timestamp,NIFTY,Loading,No error fallback
/research/index.html,Strategy Guides,#research-strategies,loadData,/api/strategy/NIFTY,strategy data,backend/api_server.py,N/A (computed),timestamp,NIFTY,Loading,No error fallback
/research/index.html,Research Methodology,#research-methodology,populateMethodology(),None (static),pipeline description,N/A,N/A,N/A,N/A,Always populated,None
/scanner.html,Scanner Table,#scanner-table,loadScanner,/api/symbols + /api/{symbol},"symbol,cap,price,change,regime,signal",backend/api_server.py,price_5m / market_regime,timestamp,ALL,Loading,Fallback symbol list (15 symbols)
/scanner.html,Summary Hero,#scanner-summary,loadScanner,/api/market,"scan_count,buy_count,sell_count",backend/api_server.py,price_5m / market_regime,timestamp,ALL,Loading,No pre-rendered
/stock.html,Stock AI Dashboard,#dashboard,renderOutlookDashboard (ai-outlook.js),/api/{symbol} (dynamic),"regime,bias,confidence,8-factor",backend/ai_outlook.py,ai_outlooks_5m,generated_at,RELIANCE (default),Loading,No pre-rendered
/stock.html,Symbol Selector,URL param ?symbol=,loadStock,URL parameter,SYMBOL,N/A,N/A,N/A,RELIANCE/ADANIENT,URL-dependent,None
/trade.html,Live Price,#t-spot,loadData,/api/trade-setup/{symbol},"price,change",backend/api_server.py,price_5m,timestamp,NIFTY,Loading,No pre-rendered
/trade.html,Trade Setup,#t-setup,loadData,/api/trade-setup/{symbol},"GO/WAIT/NO_SETUP,entry,exit",backend/api_server.py,N/A (computed),timestamp,NIFTY,Loading,No pre-rendered
/tools/backtest.html,Backtest Form,#backtest-form,runBacktest,/api/backtest?symbol=...&days=...,"metrics,equity,trades",backend/backtest.py / backtest_engine.py,price_5m / market_regime,timestamp,NIFTY,Async results,No pre-rendered
/tools/walkforward.html,Walk-Forward,#walkforward-results,runWalkForward,/api/walkforward/{symbol}/{start}/{end},"dev,val,oos metrics",backend/walkforward.py,price_5m / market_regime,timestamp,NIFTY,On demand,Blank until run
/tools/intelligence.html,Intelligence Summary,#intelligence-summary,loadData,/api/intelligence/summary,"total_trades,win_rate,categories",backend/personal_intelligence.py,trade_journal,timestamp,NIFTY,Loading,SUFFICIENT_DATA/INSUFFICIENT_DATA
/tools/journal.html,Trade Entries,#journal-entries,loadData,/api/journal,"entries,filters",backend/api_server.py,trade_journal,timestamp,NIFTY,Loading,No pre-rendered
/stock-options.html,Stock Options Table,#options-table,loadData,/api/nifty + /api/{symbol},"expiry,atm,structures",backend/api_server.py,option_chain,timestamp,RELIANCE etc,Loading,Fallback symbol list (15)
/alerts.html,Alert Feed,#alerts-list,loadAlerts,/api/alerts?limit=100,"type,symbol,message,timestamp",backend/api_server.py,N/A (computed),timestamp,ALL,Loading,No pre-rendered
